name,type,z,hostz,specjd,maxjd,phase,fname,flag,instrument,ntype,deljd_r,deljd_g,deljd,id,tag
AT2018hrg,nova,-0.00016,-0.00016,2458425.5,,,../ML_spectra/spectra/AT2018hrg_20181103_P60_v1.ascii,2,P60,nova,,,0.0,,
ZTF17aabcpcp,galaxy,0.034,,2458424.5,2458422.81,1.69,../ML_spectra/spectra/ZTF17aabcpcp_20181102_P60_v1.ascii,0,P60,galaxy,24.8543170997873,,24.8543170997873,,
ZTF18aabcvnq,star,0.0,,2458273.5,2458260.62,12.88,../ML_spectra/spectra/ZTF18aabcvnq_20180604_P60_v1.ascii,0,P60,star,1020.20747689995,1052.01081020013,1052.01081020013,,
ZTF18aabtxvd,TDE,0.071,,2458184.5,2458223.62,-39.12,../ML_spectra/spectra/ZTF18aabtxvd_20180307_P60_v1.ascii,0,P60,TDE,151.346608800341,626.1571296002,626.1571296002,,
ZTF18aabtxvd,TDE,0.071,,2458203.5,2458223.62,-20.12,../ML_spectra/spectra/ZTF18aabtxvd_20180326_P60_v1.ascii,0,P60,TDE,151.346608800341,626.1571296002,626.1571296002,,
ZTF18aabtxvd,TDE,0.071,,2458204.5,2458223.62,-19.12,../ML_spectra/spectra/ZTF18aabtxvd_20180327_P60_v1.ascii,0,P60,TDE,151.346608800341,626.1571296002,626.1571296002,,
ZTF18aaemivw,Ia,0.065,0.068069,2458426.5,2458423.99,2.51,../ML_spectra/spectra/ZTF18aaemivw_20181104_P60_v1.ascii,1,P60,Ia,31.9352661999874,9.02954859984311,31.9352661999874,,
ZTF18aaeoiwu,star,0.0,,2458775.5,2458837.92,-62.42,../ML_spectra/spectra/ZTF18aaeoiwu_20191019_P60_v1.ascii,0,P60,star,292.131747699801,379.874537100084,379.874537100084,,
ZTF18aaeynan,galaxy,0.05,,2458377.5,2458375.96,1.54,../ML_spectra/spectra/ZTF18aaeynan_20180916_P60_v1.ascii,0,P60,galaxy,501.716898099985,,501.716898099985,,
ZTF18aagpxsx,star,0.0,,2458479.5,2458474.95,4.55,../ML_spectra/spectra/ZTF18aagpxsx_20181227_P60_v1.ascii,0,P60,star,678.092662000105,675.949861099944,678.092662000105,,
ZTF18aahmhxu,SLSN-II,0.167,,2458230.5,2458266.68,-36.18,../ML_spectra/spectra/ZTF18aahmhxu_20180422_P60_v2.ascii,1,P60,SLSN-II,391.933842599865,731.010185199797,731.010185199797,,
ZTF18aahmhxu,SLSN-II,0.167,,2458230.5,2458266.68,-36.18,../ML_spectra/spectra/ZTF18aahmhxu_20180422_P60_v4.ascii,1,P60,SLSN-II,391.933842599865,731.010185199797,731.010185199797,,
ZTF18aahqkbt,TDE,0.051,,2458255.5,2458249.61,5.89,../ML_spectra/spectra/ZTF18aahqkbt_20180517_P60_v1.ascii,0,P60,TDE,959.21983799991,784.025590300109,959.21983799991,,
ZTF18aahqkbt,TDE,0.051,,2458258.5,2458249.61,8.89,../ML_spectra/spectra/ZTF18aahqkbt_20180520_P60_v1.ascii,0,P60,TDE,959.21983799991,784.025590300109,959.21983799991,,
ZTF18aahqkbt,TDE,0.051,,2458226.5,2458249.61,-23.11,../ML_spectra/spectra/ZTF18aahqkbt_20180418_P60_v1.ascii,0,P60,TDE,959.21983799991,784.025590300109,959.21983799991,,
ZTF18aaisyyp,SLSN-I,0.132,,2458242.5,2458255.68,-13.18,../ML_spectra/spectra/ZTF18aaisyyp_20180504_P60_v1.ascii,1,P60,SLSN-I,949.271956000019,946.165231499836,949.271956000019,,
ZTF18aajvgel,galaxy,0.029,,2458377.5,2458701.73,-324.23,../ML_spectra/spectra/ZTF18aajvgel_20180916_P60_v1.ascii,0,P60,galaxy,699.084189800073,900.69105320004,900.69105320004,,
ZTF18aakecej,Ia,0.062,0.06647,2458234.5,2458232.63,1.87,../ML_spectra/spectra/ZTF18aakecej_20180426_P60_v1.ascii,1,P60,Ia,945.204131999992,811.890995300368,945.204131999992,,
ZTF18aakgzot,varstar,0.0,,2458270.5,2458349.69,-79.19,../ML_spectra/spectra/ZTF18aakgzot_20180601_P60_v1.ascii,0,P60,star,898.701620399937,909.648020800203,909.648020800203,,
ZTF18aapgrxo,SLSN-I,0.2744,,2458296.5,2458284.84,11.66,../ML_spectra/spectra/ZTF18aapgrxo_20180627_P60_v1.ascii,1,P60,SLSN-I,824.844213000033,449.889710700139,824.844213000033,,
ZTF18aapgrxo,SLSN-I,0.2744,,2458268.5,2458284.84,-16.34,../ML_spectra/spectra/ZTF18aapgrxo_20180530_P60_v1.ascii,1,P60,SLSN-I,824.844213000033,449.889710700139,824.844213000033,,
ZTF18aaqiivp,NLS1,0.046,,2458334.5,2459044.8,-710.3,../ML_spectra/spectra/ZTF18aaqiivp_20180804_P60_v2.ascii,0,P60,NLS1,896.713055599947,936.70800929983,936.70800929983,,
ZTF18aaqiivp,NLS1,0.046,,2458334.5,2459044.8,-710.3,../ML_spectra/spectra/ZTF18aaqiivp_20180804_P60_v1.ascii,0,P60,NLS1,896.713055599947,936.70800929983,936.70800929983,,
ZTF18aarbify,Ia,0.064,0.081056,2458257.5,2458248.61,8.89,../ML_spectra/spectra/ZTF18aarbify_20180519_P60_v1.ascii,1,P60,Ia,13.0387615999207,,13.0387615999207,,
ZTF18aartjmf,Ia,0.092,0.087823,2458329.5,2458328.62,0.88,../ML_spectra/spectra/ZTF18aartjmf_20180730_P60_v1.ascii,1,P60,Ia,6.04251160007698,9.00364580005407,9.00364580005407,,
ZTF18aaunfqq,Ia,0.065,0.071095,2458262.5,2458269.72,-7.22,../ML_spectra/spectra/ZTF18aaunfqq_20180524_P60_v1.ascii,1,P60,Ia,42.0216550999248,29.8592130001634,42.0216550999248,,
ZTF18aaupmks,Ia,0.04,,2458281.5,2458261.91,19.59,../ML_spectra/spectra/ZTF18aaupmks_20180612_P60_v1.ascii,1,P60,Ia,332.010544000186,59.9592246003449,332.010544000186,,
ZTF18aauqdyb,Ia-91T,0.117,,2458295.5,2458266.79,28.71,../ML_spectra/spectra/ZTF18aauqdyb_20180626_P60_v1.ascii,1,P60,Ia-91T,37.8737267996257,35.0023495000933,37.8737267996257,,
