name,type,z,hostz,specjd,maxjd,phase,fname,flag,instrument,ntype,deljd_r,deljd_g,deljd,id,tag
ZTF17aaajnki,AGN,0.00106,,2458197.5,2458462.0,-264.5,../ML_spectra/spectra/ZTF17aaajnki_20180320_P60_v1.ascii,0,P60,AGN,959.281088000163,915.305867999807,959.281088000163,,
ZTF17aaajnki,AGN,0.00106,,2458197.5,2458462.0,-264.5,../ML_spectra/spectra/ZTF17aaajnki_20180320_P60_v2.ascii,0,P60,AGN,959.281088000163,915.305867999807,959.281088000163,,
ZTF17aaburzk,CV,0.0,,2458316.5,2458360.82,-44.32,../ML_spectra/spectra/ZTF17aaburzk_20180717_P60_v1.ascii,0,P60,CV,516.724791700028,868.678912099917,868.678912099917,,
ZTF18aabilqu,AGN,0.0222,,2458260.5,2458598.61,-338.11,../ML_spectra/spectra/ZTF18aabilqu_20180522_P60_v1.ascii,0,P60,AGN,969.292002299793,797.10121520004,969.292002299793,,
ZTF18aabssth,II,0.026,0.022914,2458186.5,2458218.66,-32.16,../ML_spectra/spectra/ZTF18aabssth_20180309_P60_v1.ascii,1,P60,IIP,1000.23182869983,738.02854169999,1000.23182869983,,
ZTF18aabxlsv,Ib,0.055,0.04797,2458248.5,2458224.63,23.87,../ML_spectra/spectra/ZTF18aabxlsv_20180510_P60_v1.ascii,1,P60,Ib,813.943761599716,168.628090299673,813.943761599716,,
ZTF18aachojf,AGN,0.0392,,2458261.5,2458243.61,17.89,../ML_spectra/spectra/ZTF18aachojf_20180523_P60_v1.ascii,0,P60,AGN,933.34399300022,745.082719899714,933.34399300022,,
ZTF18aagpzjk,II,0.013,0.016308,2458197.5,2458217.61,-20.11,../ML_spectra/spectra/ZTF18aagpzjk_20180320_P60_v1.ascii,1,P60,IIP,31.995370300021,,31.995370300021,,
ZTF18aagrdcs,Ib,0.024,0.01814,2458204.5,2458217.84,-13.34,../ML_spectra/spectra/ZTF18aagrdcs_20180327_P60_v1.ascii,1,P60,Ib,153.845092600219,858.862974500276,858.862974500276,,
ZTF18aagrkwn,AGN,0.144,,2458270.5,2458606.76,-336.26,../ML_spectra/spectra/ZTF18aagrkwn_20180601_P60_v1.ascii,0,P60,AGN,946.647708300035,909.696307800259,946.647708300035,,
ZTF18aagrtxs,Ia,0.018,0.029664,2458205.5,2458214.68,-9.18,../ML_spectra/spectra/ZTF18aagrtxs_20180328_P60_v1.ascii,1,P60,Ia,96.8858333001917,972.236701400019,972.236701400019,,
ZTF18aagstdc,Ia,0.038,,2458210.5,2458210.81,-0.31,../ML_spectra/spectra/ZTF18aagstdc_20180402_P60_v1.ascii,1,P60,Ia,910.781828700099,923.761076399591,923.761076399591,,
ZTF18aagteoy,AGN,0.0475,,2458211.5,2458769.54,-558.04,../ML_spectra/spectra/ZTF18aagteoy_20180403_P60_v1.ascii,0,P60,AGN,933.712696700364,948.722928199917,948.722928199917,,
ZTF18aahesrp,Ia,0.051,,2458218.5,2458217.64,0.86,../ML_spectra/spectra/ZTF18aahesrp_20180410_P60_v1.ascii,1,P60,Ia,28.9640509001838,,28.9640509001838,,
ZTF18aahfeiy,Ia,0.071,0.071256,2458252.5,2458214.65,37.85,../ML_spectra/spectra/ZTF18aahfeiy_20180514_P60_v1.ascii,1,P60,Ia,45.9791434998479,571.70957180018,571.70957180018,,
ZTF18aahfjdt,AGN,0.048,,2458227.5,2458257.68,-30.18,../ML_spectra/spectra/ZTF18aahfjdt_20180419_P60_v1.ascii,0,P60,AGN,967.27071760036,698.985567100353,967.27071760036,,
ZTF18aahfohe,AGN,0.031,,2458227.5,2458575.82,-348.32,../ML_spectra/spectra/ZTF18aahfohe_20180419_P60_v1.ascii,0,P60,AGN,962.322002299588,934.331203700036,962.322002299588,,
ZTF18aahfzea,Ia,0.025,0.02373,2458229.5,2458217.71,11.79,../ML_spectra/spectra/ZTF18aahfzea_20180421_P60_v1.ascii,1,P60,Ia,78.9958564001063,738.031365700059,738.031365700059,,
ZTF18aahfzea,Ia,0.025,0.02373,2458229.5,2458217.71,11.79,../ML_spectra/spectra/ZTF18aahfzea_20180421_P60_v2.ascii,1,P60,Ia,78.9958564001063,738.031365700059,738.031365700059,,
ZTF18aahhqih,II,0.021,0.014253,2458204.5,2458257.67,-53.17,../ML_spectra/spectra/ZTF18aahhqih_20180327_P60_v1.ascii,1,P60,IIP,46.9640277996659,760.059120399885,760.059120399885,,
ZTF18aahhzqn,Ib/c,0.034,0.031065,2458229.5,2458221.7,7.8,../ML_spectra/spectra/ZTF18aahhzqn_20180421_P60_v1.ascii,1,P60,Ib/c,65.956203700036,750.002580999855,750.002580999855,,
ZTF18aahhzqn,Ib/c,0.034,0.031065,2458229.5,2458221.7,7.8,../ML_spectra/spectra/ZTF18aahhzqn_20180421_P60_v2.ascii,1,P60,Ib/c,65.956203700036,750.002580999855,750.002580999855,,
ZTF18aahijwe,AGN,0.0156,,2458233.5,2458230.79,2.71,../ML_spectra/spectra/ZTF18aahijwe_20180425_P60_v1.ascii,0,P60,AGN,82.9194559999742,44.8973263003936,82.9194559999742,,
ZTF18aahpbal,AGN,0.06,,2458226.5,2458221.65,4.85,../ML_spectra/spectra/ZTF18aahpbal_20180418_P60_v1.ascii,0,P60,AGN,964.286053300362,720.045914299793,964.286053300362,,
ZTF18aahpbwz,Ic,0.069,,2458247.5,2458245.6,1.9,../ML_spectra/spectra/ZTF18aahpbwz_20180509_P60_v2.ascii,1,P60,Ic,44.978148200069,720.046828700244,720.046828700244,,
ZTF18aahpbwz,Ic,0.069,,2458234.5,2458245.6,-11.1,../ML_spectra/spectra/ZTF18aahpbwz_20180426_P60_v1.ascii,1,P60,Ic,44.978148200069,720.046828700244,720.046828700244,,
ZTF18aahpbwz,Ic,0.069,,2458247.5,2458245.6,1.9,../ML_spectra/spectra/ZTF18aahpbwz_20180509_P60_v1.ascii,1,P60,Ic,44.978148200069,720.046828700244,720.046828700244,,
ZTF18aahpbwz,Ic,0.069,,2458247.5,2458245.6,1.9,../ML_spectra/spectra/ZTF18aahpbwz_20180509_P60_v3.ascii,1,P60,Ic,44.978148200069,720.046828700244,720.046828700244,,
ZTF18aahptcq,Ia,0.054,0.063542,2458223.5,2458224.65,-1.15,../ML_spectra/spectra/ZTF18aahptcq_20180415_P60_v1.ascii,1,P60,Ia,40.0245369998738,,40.0245369998738,,
ZTF18aahptcq,Ia,0.054,0.063542,2458223.5,2458224.65,-1.15,../ML_spectra/spectra/ZTF18aahptcq_20180415_P60_v2.ascii,1,P60,Ia,40.0245369998738,,40.0245369998738,,
ZTF18aahqmsr,Ia,0.064,,2458234.5,2458231.62,2.88,../ML_spectra/spectra/ZTF18aahqmsr_20180426_P60_v1.ascii,1,P60,Ia,62.9732059999442,889.2606366002,889.2606366002,,
ZTF18aailmnv,Ia,0.086,,2458320.5,2458324.73,-4.23,../ML_spectra/spectra/ZTF18aailmnv_20180721_P60_v1.ascii,1,P60,Ia,56.9131019003689,36.0657754000204,56.9131019003689,,
