name,type,z,hostz,specjd,maxjd,phase,fname,flag,instrument,ntype,deljd_r,deljd_g,deljd
ZTF18aajupnt,CLAGN,0.0367,,2458321.5,2458326.62,-5.12,../ML_spectra/spectra/ZTF18aajupnt_20180722_P60_v1.ascii,0,P60,AGN,365.992418900139,402.993935199913,402.993935199913
ZTF18aajupnt,CLAGN,0.0367,,2458342.5,2458326.62,15.88,../ML_spectra/spectra/ZTF18aajupnt_20180812_P60_v1.ascii,0,P60,AGN,365.992418900139,402.993935199913,402.993935199913
ZTF18aajupnt,CLAGN,0.0367,,2458342.5,2458326.62,15.88,../ML_spectra/spectra/ZTF18aajupnt_20180812_P60_v2.ascii,0,P60,AGN,365.992418900139,402.993935199913,402.993935199913
ZTF18aaxxyhp,AGN,0.0217,,2458275.5,2458284.79,-9.29,../ML_spectra/spectra/ZTF18aaxxyhp_20180606_P60_v1.ascii,0,P60,AGN,17.9266781997867,,17.9266781997867
ZTF18aaxxyhp,AGN,0.0217,,2458285.5,2458284.79,0.71,../ML_spectra/spectra/ZTF18aaxxyhp_20180616_P60_v1.ascii,0,P60,AGN,17.9266781997867,,17.9266781997867
ZTF18aapzqup,AGN,0.067,,2458293.5,2458311.84,-18.34,../ML_spectra/spectra/ZTF18aapzqup_20180624_P60_v1.ascii,0,P60,AGN,312.088483800188,315.069988399751,315.069988399751
ZTF18aapzqup,AGN,0.067,,2458319.5,2458311.84,7.66,../ML_spectra/spectra/ZTF18aapzqup_20180720_P60_v1.ascii,0,P60,AGN,312.088483800188,315.069988399751,315.069988399751
ZTF18aaqduja,AGN,0.099,,2458281.5,2458375.57,-94.07,../ML_spectra/spectra/ZTF18aaqduja_20180612_P60_v1.ascii,0,P60,AGN,743.904479200028,786.027048600365,786.027048600365
ZTF18aavohdq,AGN,0.089,,2458281.5,2458633.8,-352.3,../ML_spectra/spectra/ZTF18aavohdq_20180612_P60_v1.ascii,0,P60,AGN,814.883275399923,784.979120400269,814.883275399923
ZTF18aaylbyr,AGN,0.0724,,2458280.5,2458608.79,-328.29,../ML_spectra/spectra/ZTF18aaylbyr_20180611_P60_v1.ascii,0,P60,AGN,778.895601800185,699.952465199865,778.895601800185
ZTF18aaylcgr,AGN,0.069,,2458281.5,2458306.64,-25.14,../ML_spectra/spectra/ZTF18aaylcgr_20180612_P60_v1.ascii,0,P60,AGN,853.828171299763,571.669062499903,853.828171299763
