name,type,ntype,z,specjd,maxjd,peakmag,peakfilt,instrument
ZTF18abcezmh, II,IIP,0.057,2458302.5,2458299.83,18.931,r,P60
ZTF18abceakp, II,IIP,0.03,2458299.5,2458303.66,18.0295,g,P60
ZTF18abceakp, II,IIP,0.03,2458301.5,2458303.66,18.0295,g,P60
ZTF18abceakp, II,IIP,0.03,2458304.5,2458303.66,18.0295,g,P60
ZTF18aakfabl, II,IIP,0.035,2458427.5,2458423.94,18.3869,g,P60
ZTF18aakfabl, II,IIP,0.035,2458437.5,2458423.94,18.3869,g,P60
ZTF18aakfabl, II,IIP,0.035,2458437.5,2458423.94,18.3869,g,P60
ZTF18accngxc, II,IIP,0.07,2458581.5,2458575.66,18.6593,g,P60
ZTF18acnncve, Ib,Ib,0.0445,2458448.5,2458447.9,18.567,r,P60
ZTF18acsyaye, II,IIP,0.05,2458474.5,2458456.71,18.4839,r,P60
ZTF18acuring, II,IIP,0.037,2458466.5,2458471.97,18.9841,r,P60
ZTF18acuring, II,IIP,0.037,2458472.5,2458471.97,18.9841,r,P60
ZTF18acvilwk, II,IIP,0.0154,2458481.5,2458476.98,17.4097,r,P60
ZTF18acsvycn, II,IIP,0.05,2458474.5,2458456.58,17.7196,r,P60
ZTF18acwzxhr, II,IIP,0.026,2458486.5,2458467.99,18.1243,r,P60
ZTF18adachwf, IIP,IIP,0.02905,2458482.5,2458488.0,18.8368,r,P60
ZTF18adachwf, IIP,IIP,0.02905,2458486.5,2458488.0,18.8368,r,P60
ZTF18adasisj, Ic,Ic,0.034,2458483.5,2458507.67,17.7742,r,P60
ZTF18adbmrug, IIn,IIn,0.02396,2458486.5,2458493.59,17.8258,r,P60
ZTF19aadgimr, IIn,IIn,0.035,2458649.5,2458526.96,16.3072,r,P60
ZTF19aadnxnl, IIP,IIP,0.0088,2458555.5,2458558.69,16.1106,r,P60
ZTF19aadwtoe, Ic,Ic,0.0153,2458523.5,2458510.74,17.7249,r,P60
ZTF19aadyiao, IIb,IIb-H,0.032,2458557.5,2458512.97,17.8977,r,P60
ZTF19aadyiao, IIb,IIb-H,0.032,2458557.5,2458512.97,17.8977,r,P60
ZTF19aadttht, Ic,Ic,0.00638,2458588.5,2458509.94,15.984,r,P60
